dataset,category,image_index,map,nss,auc_judd,sauc,cc,sim,kl
MIT1003,stimuli,12,gradient_only,0.9273591930823071,0.77587867003311,0.7532434080170706,0.26784512647867503,0.31876758714812437,1.40095799724879
MIT1003,stimuli,12,full_awmb,0.9967350376672611,0.7979992335550109,0.6850419143423259,0.30497916338082226,0.32481075137312854,1.3876778388654223
MIT1003,stimuli,12,detail_retention,0.8001285293317225,0.7979989871096768,0.6948315805517451,0.27026737749490937,0.32656998075477167,1.3771538036046742
MIT1003,stimuli,13,uniform,0.0,0.5,0.5,0.0,0.45263422294979627,0.9796434839173271
MIT1003,stimuli,13,center_prior,1.0786383918263935,0.8087564414972237,0.5157338842975205,0.6095622293207666,0.5656059942481545,0.6362290222306075
MIT1003,stimuli,13,gradient_only,0.349901531528285,0.6080270406699521,0.5798694214876032,0.12160679004594756,0.47440584187144735,1.0377519808408144
MIT1003,stimuli,13,full_awmb,0.6917417895307539,0.6982379622534618,0.5779842975206612,0.3231646540582076,0.5251720287002214,0.7856674684087587
MIT1003,stimuli,13,detail_retention,0.6851909663679192,0.698238234621209,0.582307438016529,0.35588045927316014,0.545038098710703,0.7203541613308221
MIT1003,stimuli,14,uniform,0.0,0.5,0.5,0.0,0.4379155523638547,0.9779207923255583
MIT1003,stimuli,14,center_prior,0.9835321659914987,0.7864098842889935,0.44526049149338365,0.5739499748169441,0.552555312693673,0.6540649514856232
MIT1003,stimuli,14,gradient_only,0.2603270079905403,0.5834049416233934,0.5635584120982986,0.07790698474789363,0.43736141574228427,1.0504411110500544
MIT1003,stimuli,14,full_awmb,0.6103893153173469,0.6911018991612841,0.5539742911153119,0.2926942321310155,0.49811466986191394,0.8162304964377207
MIT1003,stimuli,14,detail_retention,0.6482032316724402,0.691101725460156,0.5553368620037807,0.33948354143720066,0.5211042019116147,0.7479316798911909
MIT1003,stimuli,15,uniform,0.0,0.5,0.5,0.0,0.35817231894027335,1.3471110785072862
MIT1003,stimuli,15,center_prior,1.1787360383859888,0.8277088684601865,0.5698959874260354,0.520149249102648,0.4372335288920519,0.9783915569386474
MIT1003,stimuli,15,gradient_only,0.2877471884407288,0.57576733734192,0.5508182322485208,0.14276386113579254,0.3872731525208045,1.326410204280689
MIT1003,stimuli,15,full_awmb,0.6712901832967818,0.6910124420834,0.5579447115384616,0.3100810248187009,0.41559109772649455,1.1311730807124656
MIT1003,stimuli,15,detail_retention,0.6531891894757196,0.6910127301301511,0.564947300295858,0.2891456062309699,0.416593527268894,1.1164456667403766
MIT1003,stimuli,16,uniform,0.0,0.5,0.5,0.0,0.2059048499611574,2.0779094778246634
MIT1003,stimuli,16,center_prior,1.3409184961412564,0.8772402490662691,0.5840758847911574,0.389594595582893,0.2730335576923125,1.6399077230864714
MIT1003,stimuli,16,gradient_only,1.0020599193902764,0.8270812528575984,0.7247656499096611,0.18957752320914217,0.2679316436781916,1.7936982556406673
MIT1003,stimuli,16,full_awmb,1.3016283002534756,0.8785901780341699,0.7275034541396534,0.29216701131872397,0.2833916023449872,1.58171617266536
MIT1003,stimuli,16,detail_retention,1.6153764407483606,0.8785904868246315,0.7270485705175895,0.37126249537437916,0.361025577639437,1.2593781155614303
MIT1003,stimuli,17,uniform,0.0,0.5,0.5,0.0,0.31867360122185145,1.4918250099466033
MIT1003,stimuli,17,center_prior,1.1815535773047086,0.8348193145224063,0.553252811328613,0.4623277072238371,0.409214321942994,1.1089725027422666
MIT1003,stimuli,17,gradient_only,0.6937906856780117,0.729966354527753,0.6472448979591837,0.2918863894927188,0.4217064047597374,1.1306163329400487
MIT1003,stimuli,17,full_awmb,1.001743116333147,0.7917696352873191,0.6412692628071638,0.4097435964685672,0.436448218929452,1.0390779118384608
MIT1003,stimuli,17,detail_retention,1.09065328826671,0.7917698390510803,0.6396563931695127,0.4266285475731602,0.47758677574701663,0.8890260131923788
MIT1003,stimuli,18,uniform,0.0,0.5,0.5,0.0,0.2608862792581342,1.8085958778844349
MIT1003,stimuli,18,center_prior,1.4367787036564803,0.8986155153282231,0.6678975121687398,0.47782246372481085,0.3504689486880886,1.345152558138635
MIT1003,stimuli,18,gradient_only,1.3725352170014748,0.8471298174913063,0.7357355327203894,0.428121745836254,0.3902932822251973,1.1673052679823988
MIT1003,stimuli,18,full_awmb,1.6204355241396633,0.8806843031380724,0.7394267171444022,0.5157652030494941,0.3887697708238307,1.148794767902931
MIT1003,stimuli,18,detail_retention,1.5196088259094265,0.8806843031380724,0.7423661438615469,0.4972162351063113,0.44262282190032554,0.9588495902715438
MIT1003,stimuli,19,uniform,0.0,0.5,0.5,0.0,0.27208937223410573,1.9623357465924323
MIT1003,stimuli,19,center_prior,1.3886338039951367,0.8837518675570035,0.6677246578059909,0.37837735741370326,0.3393944363245043,1.523998234117725
MIT1003,stimuli,19,gradient_only,0.70615971005959,0.6392994430006845,0.675570323348542,0.008044298060694045,0.2316577774326866,2.170278619214839
MIT1003,stimuli,19,full_awmb,1.293421839330424,0.7502023216035059,0.6991013687760365,0.17150427283315384,0.2771720645856784,1.8317123449774104
MIT1003,stimuli,19,detail_retention,0.804015006449104,0.7502023216035059,0.7020690339218407,0.1289232055601685,0.2688671182150928,1.8699593278224342
MIT1003,stimuli,20,uniform,0.0,0.5,0.5,0.0,0.3902054182306966,1.155977722660032
MIT1003,stimuli,20,center_prior,0.9458109258949653,0.7699250554507006,0.4761578478002378,0.48607452477859314,0.4677490401372024,0.8662870008476232
MIT1003,stimuli,20,gradient_only,0.7256590295095848,0.7057084946340254,0.6185144173602855,0.30741813588390193,0.45007569840542055,1.036289795960724
MIT1003,stimuli,20,full_awmb,0.9604334871122984,0.7611334502045821,0.6042003567181926,0.4373807363449766,0.48041528995938915,0.8521431747874274
MIT1003,stimuli,20,detail_retention,0.8545780116959105,0.7611334502045821,0.6022874554102259,0.4123836169153813,0.49177458140652647,0.8466379643854325
MIT1003,stimuli,21,uniform,0.0,0.5,0.5,0.0,0.41071319470001194,1.029761907405021
MIT1003,stimuli,21,center_prior,0.735114625931575,0.7089569681956209,0.40352986111111117,0.4718719812837778,0.49947139435882887,0.8051428660801065
