dataset,subset,map,n_images,nss_mean,nss_sem,auc_judd_mean,auc_judd_sem,sauc_mean,sauc_sem,cc_mean,cc_sem,sim_mean,sim_sem,kl_mean,kl_sem
CAT2000,Object,gradient_only,100,0.96966936561017,0.04337578957181853,0.7605120239407691,0.007897112016117673,0.6087142134839824,0.00583751881950368,0.3348479017150944,0.012892572410423232,0.41139199004586546,0.007005584322677558,1.7499407070328987,0.11463501414626683
CAT2000,Object,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.2957275413055639,0.005153125959959917,1.635192818773284,0.027546661026180624
CAT2000,OutdoorManMade,center_prior,100,1.1698009082026903,0.015669254086396783,0.8294634770397882,0.003971730307747544,0.499012127530556,0.006365962891196207,0.5165309389834829,0.006894467430740221,0.45629902305291803,0.005805471856181678,0.9689005417685224,0.02096607487258828
CAT2000,OutdoorManMade,detail_retention,100,0.8727816505695917,0.024555228273599503,0.7583907704667402,0.005986439926088497,0.5652953873034406,0.006225942045510325,0.3768707508395038,0.008998893881849157,0.4728074021141292,0.005216726994296814,0.924142507900881,0.018852263965108935
CAT2000,OutdoorManMade,full_awmb,100,0.9163185553532139,0.026257691366353624,0.7583907733461956,0.005986440107254595,0.565256164011987,0.006200501050733732,0.39167763467207434,0.009578873551906146,0.4568688486010643,0.004946180418774907,0.9780383002477019,0.019057861812253052
CAT2000,OutdoorManMade,gradient_only,100,0.6508395912880599,0.03081570864749191,0.6923522045471092,0.008004854485499691,0.571718089817204,0.006261912718938975,0.27119055642657164,0.011592283143912963,0.4367553270548804,0.005317295170938886,1.2037146567843793,0.02730598184460222
CAT2000,OutdoorManMade,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3610562786253274,0.005100682894717157,1.349138286668624,0.024010969231358176
CAT2000,OutdoorNatural,center_prior,100,1.2148947691136698,0.01656493909816515,0.8406333961670043,0.0040801567418601095,0.5211265429440953,0.006579925849931276,0.514500364400178,0.007023074182791295,0.4490032565126329,0.005912072033657605,1.0037541756978754,0.02112862627677314
CAT2000,OutdoorNatural,detail_retention,100,0.811577812878873,0.02362430602481816,0.7517852101078466,0.0062626556132238335,0.5581562490565319,0.0062235236063380005,0.3368711304857037,0.00866269207868631,0.44766239313688827,0.005562154855130592,1.0240863979914747,0.021074642868597705
CAT2000,OutdoorNatural,full_awmb,100,0.9111840818190372,0.028353572755546404,0.7517852223786728,0.006262656201542842,0.5584973606508888,0.0062052097243850204,0.37167488860226017,0.009619784309359001,0.43925170335559405,0.005098883371609168,1.0456507290481925,0.019620741626296394
CAT2000,OutdoorNatural,gradient_only,100,0.6184934845989359,0.033103695283013684,0.6723729380214906,0.008321588871188812,0.5583040582097589,0.006108824107547921,0.24419436989573437,0.012037927089467685,0.4173924913311924,0.005457912395112189,1.2287365290354675,0.023969484841382657
CAT2000,OutdoorNatural,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.35411834488368393,0.005184286865769556,1.397236978048491,0.023791504472332026
CAT2000,Pattern,center_prior,100,1.3134566704057153,0.013415215133850994,0.8651119739332827,0.0031376757335025594,0.5644879184088065,0.005900160149885534,0.4977680349798041,0.006653418578019696,0.41596776148509157,0.006333756525664505,1.1433782375835861,0.024982776846794976
CAT2000,Pattern,detail_retention,100,0.9010238067050819,0.02150958704714525,0.7787331007282886,0.004797716924537758,0.5737987761901281,0.004986647661261078,0.3265699810250734,0.0074765843795411985,0.4234129508202893,0.005400698834878925,1.1064471393264999,0.022862715631252816
CAT2000,Pattern,full_awmb,100,0.9050163739663306,0.027371651908540285,0.7787331122150093,0.004797715637743365,0.5741827801585098,0.0050059348233179235,0.32044826274718013,0.007769619379797921,0.4070437950287005,0.0053617895938583085,1.1791011040970132,0.02260395414075637
CAT2000,Pattern,gradient_only,100,0.6042998932794279,0.03305081587373523,0.681226609686802,0.007010113217793058,0.5617460872841104,0.00472305285238366,0.2019779509049104,0.009992916222840306,0.34036989329917994,0.009292948676237173,3.4902753261695456,0.3355880597689583
CAT2000,Pattern,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3233712911628481,0.0053564923436761735,1.5681373558680485,0.027679956763692094
CAT2000,Random,center_prior,100,1.1683059429717613,0.02132917339863192,0.8271844229934324,0.005668291684533126,0.5085196936302557,0.007725809255944793,0.44927584873136894,0.0059119675583657345,0.3743356163854345,0.005072215626989995,1.234913141946592,0.01970324887569314
CAT2000,Random,detail_retention,100,1.2673622063173797,0.024017237870697764,0.8269242255476874,0.0042072983324210255,0.6197006253625337,0.005912572344378154,0.47975313826904553,0.006938349650883453,0.47727141164230585,0.005242702912059711,0.8803841308837247,0.016980329257167616
CAT2000,Random,full_awmb,100,1.2423959722133155,0.030297294815454484,0.8269242204181316,0.004207297407543038,0.6194503325236084,0.00589477428680916,0.4621364456600908,0.007989054896537303,0.41926756719231517,0.0051520447105049,1.0752591698150962,0.0187974416393333
CAT2000,Random,gradient_only,100,0.9927095166883376,0.03841507321460218,0.7854972283665098,0.006018503580826539,0.6334069833381537,0.005760911192627694,0.36086723265493303,0.01170738055282167,0.4384723366756971,0.0063691123807140485,1.32264048303559,0.027584225212176107
CAT2000,Random,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.2948044696741966,0.004973223251797021,1.6130475115924414,0.024338644746977344
CAT2000,Satelite,center_prior,100,1.1169543624821272,0.014839164917667406,0.8133161793618368,0.0037784402689922023,0.4900340603118638,0.005460290588127741,0.5303152897552018,0.006296673482968275,0.5033133122787604,0.005888146566955761,0.8331622167665934,0.01949584486239937
CAT2000,Satelite,detail_retention,100,0.6365843972455236,0.02379755813833572,0.7082713094071315,0.006864034891185372,0.5372813403685485,0.005451652447876292,0.2953381779318575,0.008676022417220423,0.47128415934335294,0.004940266206558028,0.9509630283452545,0.017531183009554172
CAT2000,Satelite,full_awmb,100,0.7352978881680285,0.028550751829656117,0.708271316324977,0.006864034739883078,0.5375850624247238,0.005443949206367977,0.3346648101064564,0.0098557027111717,0.47143442028058247,0.004900426484213691,0.947672690422444,0.01698044332330178
CAT2000,Satelite,gradient_only,100,0.3687569348453808,0.035427020388270655,0.6045971153304115,0.009363540622163808,0.5458765342239105,0.005563815882350183,0.156004425704787,0.013811653090817735,0.4296828718718846,0.005279146430950028,1.2369650740922924,0.032993157922206945
CAT2000,Satelite,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.40744936899118317,0.005496034736935859,1.1909076497692765,0.02272761551531772
CAT2000,Sketch,center_prior,100,1.4217140169979081,0.015008881019639594,0.8954057108023349,0.0034776644922446705,0.6067877078129522,0.006837475418717131,0.45622679409366745,0.005766397567737514,0.3156590053709363,0.003983827323160051,1.4784590085548057,0.020129425321097818
CAT2000,Sketch,detail_retention,100,1.5220365758253434,0.035382034941897095,0.8586820039161762,0.003510019279948866,0.6615541886514349,0.00511447830062695,0.46498193238442087,0.00799942521764477,0.42985805704173985,0.0046235797362522415,1.0478159109377,0.017136889647771155
CAT2000,Sketch,full_awmb,100,1.5103498821348933,0.043417277880009424,0.8586820110905071,0.00351001965907802,0.661338627856824,0.005175541800562948,0.4554095724882682,0.009530463133284432,0.3668010541296321,0.0038743400854121847,1.2832957542695995,0.01637983451207055
CAT2000,Sketch,gradient_only,100,1.2300710805720572,0.0517340742532327,0.7705764863198108,0.007920556588086365,0.646112427490094,0.0054863321378754775,0.35879018840914656,0.012307891256876128,0.35136214227283813,0.007501626863437884,5.602995286946861,0.2593044951703504
CAT2000,Sketch,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.23495689461688507,0.003293797843801851,1.9389329334880383,0.022434802627694074
CAT2000,Social,center_prior,100,1.0944053367005728,0.01883483734700976,0.8101594645824092,0.004927265124517237,0.4591786840269799,0.006811385214370014,0.4701377988985485,0.006433751448596795,0.4246412991203121,0.0042860336705931035,1.0491188599598709,0.015532392622735194
CAT2000,Social,detail_retention,100,0.8743455920881203,0.019336839992182032,0.7651456287999808,0.004738771495054746,0.5705120812603339,0.005069938247129045,0.370122963721988,0.007632653705310974,0.4439764646562017,0.00480836969986704,0.9910290703382487,0.017388775749500148
CAT2000,Social,full_awmb,100,0.9463688091964767,0.022703620649438275,0.7651456415156068,0.004738770931476026,0.5702396239144354,0.005097509994201538,0.3938693886209159,0.008246022530687161,0.43289050879120095,0.004392013216231118,1.0257756854766926,0.016289638780904402
CAT2000,Social,gradient_only,100,0.7298070042424517,0.025686254483267758,0.712184188421597,0.005724289266325936,0.5858720965433332,0.004507634734621612,0.298073632534047,0.009868159856764567,0.4203635565746879,0.005203789781198389,1.2030686292730355,0.018596111404957105
CAT2000,Social,uniform,100,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.3404679796176708,0.004222886667956558,1.4048028394137098,0.019267663268939837
MIT1003,ALL,center_prior,1003,1.0535850668258206,0.008382000503393312,0.7978781968429406,0.002233881036249686,0.507976169670691,0.0035484190557953906,0.45052063516310875,0.003542516050803728,0.4123820997750223,0.0022903986767422294,1.100429034500243,0.008694538454413214
MIT1003,ALL,detail_retention,1003,0.898928955742699,0.010872814524695133,0.7590194331242966,0.0024923687401145057,0.6194887287390246,0.0029114757124478474,0.35514785877224664,0.0035525925670575084,0.4237932238773408,0.0023454565706148576,1.0720987278216405,0.009011495694938821
MIT1003,ALL,full_awmb,1003,0.9759730381428895,0.013882124635968301,0.7590194398985358,0.002492368725621006,0.6191585313805942,0.002909830879006669,0.37012154273937836,0.003951089701571956,0.40670261063681373,0.002173711189571872,1.122682522201425,0.008616253213223313
MIT1003,ALL,gradient_only,1003,0.6800936022489474,0.016174729217465524,0.681658114496094,0.0032900307912093326,0.6278371142243695,0.003014458577009809,0.2351412717455594,0.004806071587116269,0.3788267467058089,0.002316981846384221,1.330346166333202,0.016635778072145065
